Membership No  Date Joined  Active  
    41953      2016-8-10    no    
    56886      2016-7-7     no    
    61701      2019-2-2     no    
    69901      2017-1-14    no    
    25913      2018-4-22    no    
    20188      2019-3-5     no    
    93334      2018-11-3    no    
    27355      2020-6-11    no    
    30485      2018-3-18    no    
    70264      2017-12-25   no    
    64980      2020-9-14    no    
    25397      2018-11-11   no    
    78937      2020-6-15    no    
    23882      2016-9-1     no    
    57842      2020-8-14    no    
    94301      2018-12-8    no    
    40024      2018-12-20   no    
    30485      2018-3-18    no    
    70264      2017-12-25   no    
    64980      2020-9-14    no    
    25397      2018-11-11   no    
    78937      2020-6-15    no    
    23882      2016-9-1     no    
    57842      2020-8-14    no    
    94301      2018-12-8    no    
    40024      2018-12-20   no    
